candidateId,value
630633fa1e599d0009d6dee0,Ucv
630633fa1e599d0009d6dee0,José Gálvez
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas - Upc
63063bda29da5b00089fb224,Centro Peruano De  Estudios Bancarios - Cepeban
630644da1e599d0009d6e2f4,Instituto De Formación Bancaria - Ifb
63064ec3d7fa700008e7ed19,Certus
63064fc2e86a980008de8c83,Cepeban
630653281e599d0009d6e817,Ifb Certus
63065b8529da5b00089fbb2f,Instituto Superior Sise
63065d9d0b25100008421575,Argentina
630665b8594e18004af047fc,Ifb Certus
630665b8594e18004af047fc,"I. E 00 María Auxiliadora, Cercado De Lima"
630665b8594e18004af04803,Zegel Ipae
630665b8594e18004af04810,Instituto Superior Tecnologico Idat
630665b8594e18004af04816,Universidad Privada Del Norte - Upn
630665b8594e18004af0481e,Ifb Certus
630665b8594e18004af04825,Universidad Nacional Agraria La Molina
630665b8594e18004af0482e,Instituto Superior Sise
630665b8594e18004af04835,Universidad Privada San Juan Bautista
630665b8594e18004af0483b,Instituto De Educación Superior Privado Certus
630665b8594e18004af04842,Universidad Peruana De Ciencias Aplicadas (upc)
630665b8594e18004af0484f,Idat
630665b8594e18004af0484f,Manuel Scorza Torres
630665b8594e18004af04856,Instituto Cepeban
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas - Upc
630665b8594e18004af0486d,Certus
630665b8594e18004af04876,Certus
630665b8594e18004af0487f,Sise
630665b8594e18004af04885,Ifb Certus
630665b8594e18004af0488c,Certus
630665b8594e18004af04893,San Juan De Siguas
630665b8594e18004af0489e,Universidad Cesar Vallejo
630665b8594e18004af048a6,Universidad Nacional De San Agustín
630665b8594e18004af048ae,Alonso De Alvarado
630665b8594e18004af048b4,Ifb Certus
630665b8594e18004af048b4,Instituto Superior Sise
630665b8594e18004af048bd,Instituto Sise
630665b8594e18004af048c3,Instituto San Ignacio Del Loyola
630665b8594e18004af048ca,Universidad Tecnológica Del Perú
